threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,fpr,false_alarms_per_day
0.01,219,3958,0,0,0.052429973665310034,1.0,0.09963603275705188,0.052429973665310034,1.0,24.0
0.015,219,3958,0,0,0.052429973665310034,1.0,0.09963603275705188,0.052429973665310034,1.0,24.0
0.019999999999999997,219,3958,0,0,0.052429973665310034,1.0,0.09963603275705188,0.052429973665310034,1.0,24.0
0.024999999999999998,219,3958,0,0,0.052429973665310034,1.0,0.09963603275705188,0.052429973665310034,1.0,24.0
0.03,219,3958,0,0,0.052429973665310034,1.0,0.09963603275705188,0.052429973665310034,1.0,24.0
0.034999999999999996,219,3958,0,0,0.052429973665310034,1.0,0.09963603275705188,0.052429973665310034,1.0,24.0
0.039999999999999994,219,3958,0,0,0.052429973665310034,1.0,0.09963603275705188,0.052429973665310034,1.0,24.0
0.045,219,3958,0,0,0.052429973665310034,1.0,0.09963603275705188,0.052429973665310034,1.0,24.0
0.049999999999999996,219,3958,0,0,0.052429973665310034,1.0,0.09963603275705188,0.052429973665310034,1.0,24.0
0.05499999999999999,219,3958,0,0,0.052429973665310034,1.0,0.09963603275705188,0.052429973665310034,1.0,24.0
0.05999999999999999,219,3958,0,0,0.052429973665310034,1.0,0.09963603275705188,0.052429973665310034,1.0,24.0
0.06499999999999999,219,3958,0,0,0.052429973665310034,1.0,0.09963603275705188,0.052429973665310034,1.0,24.0
0.06999999999999999,219,3956,0,2,0.052455089820359284,1.0,0.09968138370505235,0.052908786210198705,0.9994946942900454,23.98787266296109
0.07499999999999998,219,3935,0,23,0.05272026961964372,1.0,0.10016007317630916,0.057936317931529806,0.9941889843355229,23.860535624052552
0.07999999999999999,219,3864,0,94,0.05363703159441587,1.0,0.10181311018131102,0.0749341632750778,0.9762506316321374,23.430015159171298
0.08499999999999998,219,3763,0,195,0.054997488699146155,1.0,0.10426089026422279,0.09911419679195595,0.9507326932794341,22.817584638706418
0.08999999999999998,217,3607,2,351,0.05674686192468619,0.9908675799086758,0.10734603017561217,0.135982762748384,0.9113188479029813,21.871652349671553
0.09499999999999999,217,3397,2,561,0.0600442722744881,0.9908675799086758,0.1132272371510566,0.186258079961695,0.8582617483577565,20.598281960586156
0.09999999999999998,216,3142,3,816,0.06432400238237046,0.9863013698630136,0.12077159630975678,0.24706727316255686,0.7938352703385548,19.052046488125317
0.10499999999999998,216,2920,3,1038,0.06887755102040816,0.9863013698630136,0.1287630402384501,0.3002154656451999,0.7377463365336028,17.705912076806467
0.10999999999999997,211,2663,8,1295,0.07341684064022269,0.9634703196347032,0.13643711606854186,0.3605458463011731,0.6728145528044467,16.147549267306722
0.11499999999999998,208,2435,11,1523,0.07869844873250094,0.9497716894977168,0.1453529000698812,0.41441225760114914,0.6152097018696311,14.765032844871147
0.11999999999999998,200,2236,19,1722,0.08210180623973727,0.91324200913242,0.15065913370998116,0.4601388556380177,0.5649317837291561,13.558362809499746
0.12499999999999997,199,1911,20,2047,0.09431279620853081,0.908675799086758,0.17088879347359381,0.5377064879099832,0.4828196058615462,11.58767054067711
0.12999999999999998,195,1617,24,2341,0.1076158940397351,0.8904109589041096,0.1920236336779911,0.6071343069188413,0.4085396664982314,9.804951995957554
0.13499999999999998,192,1345,27,2613,0.12491867273910215,0.8767123287671232,0.21867881548974946,0.6715345942063682,0.33981808994441637,8.155634158665993
0.13999999999999999,189,1058,30,2900,0.15156375300721733,0.863013698630137,0.25784447476125516,0.7395259755805602,0.2673067205659424,6.415361293582618
0.145,186,794,33,3164,0.18979591836734694,0.8493150684931506,0.3102585487906589,0.8020110126885325,0.20060636685194544,4.8145528044466905
0.15,184,600,35,3358,0.23469387755102042,0.8401826484018264,0.36689930209371885,0.8479770169978453,0.15159171298635674,3.6382011116725614
0.155,182,450,37,3508,0.2879746835443038,0.8310502283105022,0.42773207990599293,0.8834091453196073,0.11369378473976756,2.7286508337544215
0.15999999999999998,176,346,43,3612,0.3371647509578544,0.8036529680365296,0.47503373819163297,0.9068709600191525,0.08741788782213239,2.0980293077311774
0.16499999999999998,172,274,47,3684,0.38565022421524664,0.7853881278538812,0.5172932330827068,0.9231505865453675,0.06922688226376958,1.66144517433047
0.16999999999999998,170,229,49,3729,0.42606516290726815,0.776255707762557,0.5501618122977346,0.933445056260474,0.057857503789792826,1.3885800909550279
0.175,164,202,55,3756,0.44808743169398907,0.7488584474885844,0.5606837606837607,0.9384725879818051,0.05103587670540677,1.2248610409297624
0.18,161,185,58,3773,0.4653179190751445,0.7351598173515982,0.5699115044247788,0.9418242757960259,0.04674077817079333,1.1217786760990398
0.18499999999999997,161,171,58,3787,0.48493975903614456,0.7351598173515982,0.5843920145190563,0.9451759636102466,0.04320363820111167,1.0368873168266801
0.18999999999999997,160,161,59,3797,0.4984423676012461,0.730593607305936,0.5925925925925926,0.9473306200622457,0.04067710965133906,0.9762506316321375
0.19499999999999998,155,150,64,3808,0.5081967213114754,0.7077625570776256,0.5916030534351147,0.9487670576969116,0.037897928246589184,0.9095502779181404
0.19999999999999998,151,139,68,3819,0.5206896551724138,0.6894977168949772,0.593320235756385,0.950442901604022,0.03511874684183931,0.8428499242041435
0.205,148,126,71,3832,0.5401459854014599,0.6757990867579908,0.6004056795131846,0.9528369643284654,0.03183425972713492,0.7640222334512381
0.20999999999999996,147,122,72,3836,0.5464684014869888,0.6712328767123288,0.6024590163934426,0.9535551831457985,0.030823648307225872,0.739767559373421
0.21499999999999997,147,120,72,3838,0.550561797752809,0.6712328767123288,0.6049382716049383,0.9540339956906871,0.03031834259727135,0.7276402223345124
0.21999999999999997,144,116,75,3842,0.5538461538461539,0.6575342465753424,0.6012526096033404,0.9542734019631315,0.029307731177362305,0.7033855482566953
0.22499999999999998,144,112,75,3846,0.5625,0.6575342465753424,0.6063157894736841,0.9552310270529087,0.02829711975745326,0.6791308741788782
0.22999999999999998,143,107,76,3851,0.572,0.6529680365296804,0.6098081023454158,0.9561886521426861,0.027033855482566954,0.6488125315816069
0.235,143,105,76,3853,0.5766129032258065,0.6529680365296804,0.6124197002141328,0.9566674646875748,0.02652854977261243,0.6366851945426983
0.23999999999999996,141,102,78,3856,0.5802469135802469,0.6438356164383562,0.6103896103896104,0.9569068709600191,0.025770591207680646,0.6184941889843355
0.24499999999999997,141,96,78,3862,0.5949367088607594,0.6438356164383562,0.618421052631579,0.9583433085946852,0.02425467407781708,0.5821121778676099
0.24999999999999997,137,95,82,3863,0.5905172413793104,0.6255707762557078,0.6075388026607539,0.9576250897773522,0.024002021222839818,0.5760485093481557
