strategy,window_k,decay_lambda,use_fusion,use_decay,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,false_alarm_rate_per_day
composite,12,0.5,True,True,0.6981,0.589,0.6686,0.3321,0.2985,0.31,0.0546
composite,12,1.0,True,True,0.6893,0.5887,0.6694,0.2739,0.2928,0.4,0.3335
composite,12,2.0,True,True,0.6882,0.585,0.6652,0.2799,0.2635,0.47,0.2304
composite,24,0.1,True,True,0.6212,0.5745,0.6513,0.1173,0.1238,0.11,11.2602
composite,24,0.25,True,True,0.6459,0.5988,0.6776,0.1919,0.2625,0.21,0.0364
composite,24,0.5,True,True,0.6562,0.6057,0.6843,0.2376,0.2996,0.31,0.0485
composite,24,1.0,True,True,0.6431,0.6029,0.6841,0.2493,0.2928,0.4,0.3335
composite,24,2.0,True,True,0.6593,0.593,0.6714,0.268,0.2635,0.47,0.2304
historical,6,0.5,False,True,0.7259,0.7026,0.761,0.1042,0.1473,0.95,13.3886
historical,6,0.5,True,False,0.8138,0.778,0.8503,0.4762,0.6448,0.12,0.1758
historical,6,0.5,False,False,0.6461,0.6159,0.6862,0.0845,0.1791,0.49,3.05
physics,6,0.5,False,True,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,6,0.5,True,False,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,6,0.5,False,False,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
composite,6,0.5,False,True,0.6962,0.5434,0.625,0.1536,0.0997,0.93,23.9697
composite,6,0.5,True,False,0.7355,0.5651,0.6396,0.2383,0.1125,0.12,15.2501
composite,6,0.5,False,False,0.4589,0.5126,0.5909,0.0474,0.1201,0.48,8.0647
