phase,strategy,window_k,decay_lambda,use_fusion,use_decay,physics_bounds_mode,anomaly_score,smoothing_window,threshold_mode,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,best_precision,best_recall,false_alarm_rate_per_day,auroc_fused_u,auroc_fused_d,auroc_max_d,auroc_max_u,auroc_mean_u,auroc_composite_ud,f1_at_f1opt,f1_at_q90,f1_at_q95,f1_at_q99,prec_at_q95,rec_at_q95,fpr_at_q95,prec_at_q99,rec_at_q99,fpr_at_q99
hyperparam,historical,3,2.0,True,True,domain,fused_u,1,f1_optimal_eval,0.7756,0.743,0.8057,0.1599,0.2661,0.445,0.1715,0.5936,3.808,0.7756,0.8131,0.8067,0.7246,0.6251,0.8136,0.2661,0.1156,0.1175,0.1214,0.0627,0.9452,0.7825,0.0649,0.9406,0.7499
hyperparam,historical,3,2.0,False,True,domain,fused_u,1,f1_optimal_eval,0.7246,0.7002,0.7632,0.1021,0.101,0.985,0.0532,1.0,23.6362,0.7246,0.8067,0.8067,0.7246,0.6251,0.8071,0.101,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,historical,6,0.1,True,True,domain,fused_u,1,f1_optimal_eval,0.8346,0.7999,0.8701,0.4883,0.6371,0.17,0.7439,0.5571,0.2547,0.8346,0.8636,0.8313,0.7268,0.6867,0.8575,0.6371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam,historical,6,0.1,False,True,domain,fused_u,1,f1_optimal_eval,0.7268,0.7026,0.7618,0.1042,0.2091,0.675,0.1247,0.6484,6.0455,0.7268,0.8313,0.8313,0.7268,0.6867,0.8435,0.2091,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,historical,6,0.25,True,True,domain,fused_u,1,f1_optimal_eval,0.8416,0.8071,0.8749,0.4957,0.6234,0.235,0.7229,0.5479,0.2789,0.8416,0.8613,0.8417,0.727,0.6793,0.8569,0.6234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam,historical,6,0.25,False,True,domain,fused_u,1,f1_optimal_eval,0.727,0.7039,0.7625,0.1043,0.2017,0.845,0.118,0.6941,6.8883,0.727,0.8417,0.8417,0.727,0.6793,0.8522,0.2017,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,historical,6,0.5,True,True,domain,fused_u,1,f1_optimal_eval,0.8432,0.8073,0.8762,0.4721,0.6059,0.315,0.7338,0.516,0.2486,0.8432,0.8571,0.8302,0.7259,0.6635,0.8538,0.6059,0.3682,0.4592,0.5955,0.3613,0.6301,0.0616,0.6522,0.5479,0.0162
hyperparam,historical,6,0.5,False,True,domain,fused_u,1,f1_optimal_eval,0.7259,0.7026,0.761,0.1042,0.1667,0.955,0.0933,0.7808,10.0778,0.7259,0.8302,0.8302,0.7259,0.6635,0.8342,0.1667,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,historical,6,1.0,True,True,domain,fused_u,1,f1_optimal_eval,0.8214,0.787,0.8539,0.2732,0.4428,0.395,0.3715,0.5479,1.2309,0.8214,0.833,0.814,0.7259,0.6407,0.8338,0.4428,0.132,0.1366,0.141,0.0738,0.9178,0.6372,0.0765,0.895,0.5975
hyperparam,historical,6,1.0,False,True,domain,fused_u,1,f1_optimal_eval,0.7259,0.7026,0.761,0.1042,0.0997,0.97,0.0525,1.0,23.9757,0.7259,0.814,0.814,0.7259,0.6407,0.816,0.0997,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
