strategy,window_k,decay_lambda,use_fusion,use_decay,physics_bounds_mode,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,false_alarm_rate_per_day
composite,3,0.1,False,True,calibration_percentile,0.6693,0.6322,0.6997,0.1021,0.1877,0.58,1.5402
composite,3,0.25,True,True,calibration_percentile,0.743,0.7088,0.7747,0.2648,0.2847,0.3,0.097
composite,3,0.25,False,True,calibration_percentile,0.6838,0.6433,0.7103,0.1124,0.1877,0.69,1.5402
composite,3,0.5,True,True,calibration_percentile,0.7155,0.682,0.7479,0.2689,0.2868,0.36,0.0121
composite,3,0.5,False,True,calibration_percentile,0.6852,0.6442,0.7092,0.1126,0.188,0.81,1.5947
composite,3,1.0,True,True,calibration_percentile,0.6888,0.655,0.7214,0.2618,0.2771,0.41,0.4063
composite,3,1.0,False,True,calibration_percentile,0.6852,0.6442,0.7092,0.1126,0.1876,0.93,1.6008
composite,3,2.0,True,True,calibration_percentile,0.6832,0.6487,0.7164,0.261,0.2635,0.47,0.2304
composite,3,2.0,False,True,calibration_percentile,0.6852,0.6442,0.7092,0.1126,0.0997,0.92,23.9879
composite,6,0.1,True,True,calibration_percentile,0.7786,0.7418,0.8156,0.3151,0.3339,0.14,1.7281
composite,6,0.1,False,True,calibration_percentile,0.6535,0.6186,0.6862,0.0823,0.1724,0.69,1.5644
composite,6,0.25,True,True,calibration_percentile,0.7703,0.7358,0.8052,0.2884,0.2671,0.2,2.1344
composite,6,0.25,False,True,calibration_percentile,0.6649,0.6348,0.6979,0.0853,0.167,0.85,1.7342
composite,6,0.5,True,True,calibration_percentile,0.7317,0.6971,0.763,0.271,0.2889,0.32,0.0728
composite,6,0.5,False,True,calibration_percentile,0.666,0.6362,0.6984,0.0854,0.1394,0.95,10.2476
composite,6,1.0,True,True,calibration_percentile,0.6924,0.6582,0.7247,0.265,0.2686,0.4,0.5093
composite,6,1.0,False,True,calibration_percentile,0.666,0.6362,0.6984,0.0854,0.0997,0.92,23.9818
composite,6,2.0,True,True,calibration_percentile,0.6842,0.6499,0.7177,0.2612,0.2635,0.47,0.2304
composite,6,2.0,False,True,calibration_percentile,0.666,0.6362,0.6984,0.0854,0.0997,0.92,23.9879
composite,12,0.1,True,True,calibration_percentile,0.7987,0.7611,0.834,0.3861,0.4084,0.11,0.5154
composite,12,0.1,False,True,calibration_percentile,0.6445,0.6088,0.6766,0.0843,0.1689,0.83,1.5644
composite,12,0.25,True,True,calibration_percentile,0.7788,0.7441,0.8125,0.297,0.2985,0.18,1.7827
composite,12,0.25,False,True,calibration_percentile,0.6566,0.6176,0.6861,0.1562,0.0999,0.95,23.9333
composite,12,0.5,True,True,calibration_percentile,0.736,0.7017,0.7682,0.2645,0.293,0.31,0.0849
composite,12,0.5,False,True,calibration_percentile,0.657,0.6182,0.6864,0.1562,0.0998,0.95,23.9636
composite,12,1.0,True,True,calibration_percentile,0.6924,0.6583,0.7248,0.2653,0.2717,0.4,0.4851
composite,12,1.0,False,True,calibration_percentile,0.657,0.6182,0.6864,0.1562,0.0997,0.92,23.9818
composite,12,2.0,True,True,calibration_percentile,0.6842,0.6498,0.7177,0.2612,0.2635,0.47,0.2304
composite,12,2.0,False,True,calibration_percentile,0.657,0.6182,0.6864,0.1562,0.0997,0.92,23.9879
composite,24,0.1,True,True,calibration_percentile,0.7886,0.7511,0.8242,0.397,0.4603,0.09,0.4366
composite,24,0.1,False,True,calibration_percentile,0.611,0.5661,0.6421,0.0811,0.1232,0.94,10.3992
composite,24,0.25,True,True,calibration_percentile,0.7794,0.7437,0.8135,0.3048,0.3058,0.17,2.4679
composite,24,0.25,False,True,calibration_percentile,0.608,0.5641,0.642,0.083,0.0999,0.95,23.9333
composite,24,0.5,True,True,calibration_percentile,0.7362,0.7018,0.7683,0.2646,0.2941,0.31,0.0788
composite,24,0.5,False,True,calibration_percentile,0.6087,0.5633,0.6419,0.0801,0.0998,0.95,23.9636
composite,24,1.0,True,True,calibration_percentile,0.6924,0.6583,0.7248,0.2653,0.2717,0.4,0.4851
composite,24,1.0,False,True,calibration_percentile,0.6087,0.5633,0.6419,0.0801,0.0997,0.92,23.9818
composite,24,2.0,True,True,calibration_percentile,0.6842,0.6498,0.7177,0.2612,0.2635,0.47,0.2304
composite,24,2.0,False,True,calibration_percentile,0.6854,0.4644,0.5415,0.0874,0.0997,0.92,23.9879
historical,6,0.5,True,False,domain,0.8138,0.778,0.8503,0.4762,0.6448,0.12,0.1758
historical,6,0.5,False,False,domain,0.6461,0.6159,0.6862,0.0845,0.1791,0.49,3.05
physics,6,0.5,True,False,domain,0.745,0.6962,0.7888,0.4329,0.6371,0.12,0.1637
physics,6,0.5,False,False,domain,0.6211,0.5945,0.6704,0.0822,0.1798,0.49,2.662
composite,6,0.5,True,False,domain,0.786,0.7505,0.8195,0.224,0.313,0.1,2.6923
composite,6,0.5,False,False,domain,0.6211,0.5744,0.6425,0.0983,0.1313,0.49,11.8787
historical,6,0.5,True,False,calibration_percentile,0.8138,0.778,0.8503,0.4762,0.6448,0.12,0.1758
historical,6,0.5,False,False,calibration_percentile,0.6461,0.6159,0.6862,0.0845,0.1791,0.49,3.05
physics,6,0.5,True,False,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
physics,6,0.5,False,False,calibration_percentile,0.6847,0.4605,0.5387,0.0873,0.0996,0.05,24.0
composite,6,0.5,True,False,calibration_percentile,0.7847,0.746,0.8202,0.3533,0.39,0.1,0.4245
composite,6,0.5,False,False,calibration_percentile,0.5391,0.5509,0.621,0.0549,0.1195,0.49,7.9252
