strategy,window_k,decay_lambda,use_fusion,use_decay,physics_bounds_mode,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,false_alarm_rate_per_day
physics,3,0.25,True,True,domain,0.7622,0.7147,0.8073,0.3356,0.5052,0.3,0.4305
physics,3,0.25,False,True,domain,0.6979,0.6623,0.7395,0.1051,0.2068,0.67,6.2941
physics,3,0.5,True,True,domain,0.7661,0.7178,0.8096,0.3089,0.4832,0.34,0.9944
physics,3,0.5,False,True,domain,0.6986,0.6561,0.7363,0.1081,0.2079,0.8,6.2516
physics,3,1.0,True,True,domain,0.7575,0.71,0.8004,0.2491,0.4334,0.4,1.3461
physics,3,1.0,False,True,domain,0.6986,0.6561,0.7363,0.1081,0.1599,0.92,10.6781
physics,3,2.0,True,True,domain,0.7297,0.6842,0.772,0.1678,0.2724,0.44,3.9414
physics,3,2.0,False,True,domain,0.6986,0.6561,0.7363,0.1081,0.0997,0.91,23.9879
physics,6,0.1,True,True,domain,0.7587,0.7093,0.8027,0.4505,0.6376,0.17,0.188
physics,6,0.1,False,True,domain,0.696,0.6613,0.7383,0.1036,0.2026,0.67,6.3123
physics,6,0.25,True,True,domain,0.7684,0.7196,0.8144,0.4633,0.6423,0.23,0.2486
physics,6,0.25,False,True,domain,0.6927,0.6576,0.7354,0.1034,0.1648,0.84,9.6109
physics,6,0.5,True,True,domain,0.7761,0.7271,0.8203,0.484,0.5941,0.31,0.3941
physics,6,0.5,False,True,domain,0.6876,0.6523,0.7317,0.103,0.1506,0.95,11.3269
physics,6,1.0,True,True,domain,0.7621,0.7141,0.8054,0.2874,0.4448,0.39,1.3643
physics,6,1.0,False,True,domain,0.6876,0.6524,0.7317,0.103,0.0997,0.91,23.9818
physics,6,2.0,True,True,domain,0.7299,0.6843,0.7724,0.1687,0.2748,0.44,3.8868
physics,6,2.0,False,True,domain,0.6876,0.6524,0.7317,0.103,0.0997,0.91,23.9879
physics,12,0.1,True,True,domain,0.7569,0.707,0.7995,0.4482,0.6096,0.11,0.2486
physics,12,0.1,False,True,domain,0.6667,0.6221,0.7015,0.0957,0.1934,0.82,5.9788
physics,12,0.25,True,True,domain,0.7675,0.7175,0.8138,0.4694,0.6349,0.2,0.2365
physics,12,0.25,False,True,domain,0.6606,0.6107,0.6924,0.0965,0.0999,0.93,23.9394
physics,12,0.5,True,True,domain,0.7755,0.7263,0.8205,0.4741,0.6,0.3,0.4123
physics,12,0.5,False,True,domain,0.6544,0.6032,0.6859,0.0955,0.0998,0.95,23.9636
physics,12,1.0,True,True,domain,0.7622,0.7141,0.8055,0.2882,0.4516,0.39,1.2916
physics,12,1.0,False,True,domain,0.6544,0.6033,0.6859,0.0955,0.0997,0.91,23.9818
physics,12,2.0,True,True,domain,0.7299,0.6842,0.7724,0.1687,0.2748,0.44,3.8868
physics,12,2.0,False,True,domain,0.6544,0.6033,0.6859,0.0955,0.0997,0.91,23.9879
physics,24,0.1,True,True,domain,0.7566,0.7061,0.7998,0.4539,0.6044,0.09,0.2122
physics,24,0.1,False,True,domain,0.6171,0.5792,0.6611,0.0758,0.1238,0.94,12.8247
physics,24,0.25,True,True,domain,0.7676,0.7175,0.8139,0.4835,0.6224,0.19,0.3092
physics,24,0.25,False,True,domain,0.619,0.5674,0.652,0.0822,0.0999,0.95,23.9333
